;Gender;Length;Diameter;Height;Whole_Weight;Shucked_Weight;Viscera_Weight;Shell_Weight;Age;label1;label2;label3
0;2;0.455;0.365;0.095;0.514;0.2245;0.10099999999999999;0.15;15;15.975184341514797;13.212760742051236;15.074132324857812
1;2;0.35;0.265;0.09;0.2255;0.0995;0.0485;0.07;7;6.576532999458542;7.797572664768197;6.154066915070739
2;1;0.53;0.42;0.135;0.677;0.2565;0.1415;0.21;9;2.562538028930108;8.039774524205964;9.254687201581108
3;2;0.44;0.365;0.125;0.516;0.2155;0.114;0.155;10;9.252494465601496;7.70595714556886;9.531456540127028
4;0;0.33;0.255;0.08;0.205;0.0895;0.0395;0.055;7;10.31850896526895;5.393618976719237;6.122501319451969
5;0;0.425;0.3;0.095;0.3515;0.141;0.0775;0.12;8;11.094411892927123;6.9528396698035495;9.009705395311315
6;1;0.53;0.415;0.15;0.7775;0.237;0.1415;0.33;20;29.618594167941616;24.279033819655204;18.596555502235525
7;1;0.545;0.425;0.125;0.768;0.294;0.1495;0.26;16;13.219140758585315;15.726215918938873;17.00085804620091
8;2;0.475;0.37;0.125;0.5095;0.2165;0.1125;0.165;9;10.008334607426455;10.19015992297738;7.586859404585427
9;1;0.55;0.44;0.15;0.8945;0.3145;0.151;0.32;19;21.71884004966796;21.636524481672595;19.137779119597838
10;1;0.525;0.38;0.14;0.6065;0.19399999999999998;0.1475;0.21;14;8.055830478150892;11.093147669411612;13.028060843993199
11;2;0.43;0.35;0.11;0.406;0.1675;0.081;0.135;10;13.779454813962156;10.965436032844625;9.084420669177145
12;2;0.49;0.38;0.135;0.5415;0.2175;0.095;0.19;11;9.63892635680772;12.513713934904818;10.77387964756135
13;1;0.535;0.405;0.145;0.6845;0.2725;0.171;0.205;10;7.936338377466499;9.14368346938044;10.045598512704812
14;1;0.47;0.355;0.1;0.4755;0.1675;0.0805;0.185;10;13.092292782508633;9.812904545655426;8.801954046150605
15;2;0.5;0.4;0.13;0.6645;0.258;0.133;0.24;12;13.987455326010828;12.23175639811253;13.04622038709977
16;0;0.355;0.28;0.085;0.2905;0.095;0.0395;0.115;7;11.655184369279493;6.654463342930125;7.32639664449945
17;1;0.44;0.34;0.1;0.451;0.188;0.087;0.13;10;10.399512074026896;7.145313195738556;9.319216940593012
