fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;trueLabel;label1;label2;label3;label4;label5
7.4;0.59;0.08;4.4;0.086;6.0;29.0;0.9974;3.38;0.5;9.0;0.0;0.0;0.0;0.0;0.0;1.0
5.7;1.13;0.09;1.5;0.172;7.0;19.0;0.9940000000000001;3.5;0.48;9.8;0.0;0.0;0.0;0.0;0.0;1.0
8.8;0.61;0.3;2.8;0.08800000000000001;17.0;46.0;0.9976;3.26;0.51;9.3;0.0;0.0;0.0;0.0;0.0;1.0
4.6;0.52;0.15;2.1;0.054000000000000006;8.0;65.0;0.9934;3.9;0.56;13.1;0.0;0.0;0.0;0.0;0.0;1.0
8.3;0.675;0.26;2.1;0.084;11.0;43.0;0.9976;3.31;0.53;9.2;0.0;0.0;0.0;0.0;0.0;1.0
8.3;0.625;0.2;1.5;0.08;27.0;119.0;0.9972;3.16;1.12;9.1;0.0;0.0;0.0;0.0;0.0;1.0
5.0;1.02;0.04;1.4;0.045;41.0;85.0;0.9938;3.75;0.48;10.5;0.0;0.0;0.0;0.0;0.0;1.0
9.2;0.52;1.0;3.4;0.61;32.0;69.0;0.9996;2.74;2.0;9.4;0.0;0.0;0.0;0.0;0.0;1.0
7.6;0.68;0.02;1.3;0.07200000000000001;9.0;20.0;0.9965;3.17;1.08;9.2;0.0;0.0;0.0;0.0;0.0;1.0
7.3;0.55;0.03;1.6;0.07200000000000001;17.0;42.0;0.9956;3.37;0.48;9.0;0.0;0.0;0.0;0.0;0.0;1.0
7.9;0.885;0.03;1.8;0.057999999999999996;4.0;8.0;0.9972;3.36;0.33;9.1;0.0;0.0;0.0;0.0;0.0;1.0
6.9;1.09;0.06;2.1;0.061;12.0;31.0;0.9948;3.51;0.43;11.4;0.0;0.0;0.0;0.0;0.0;1.0
8.4;0.635;0.36;2.0;0.08900000000000001;15.0;55.0;0.99745;3.31;0.57;10.4;0.0;0.0;0.0;0.0;0.0;1.0
7.0;0.975;0.04;2.0;0.087;12.0;67.0;0.99565;3.35;0.6;9.4;0.0;0.0;0.0;0.0;0.0;1.0
8.1;0.87;0.0;3.3;0.096;26.0;61.0;1.00025;3.6;0.72;9.8;0.0;0.0;0.0;0.0;0.0;1.0
12.5;0.46;0.49;4.5;0.07;26.0;49.0;0.9981;3.05;0.57;9.6;0.0;0.0;0.0;0.0;0.0;1.0
