fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;trueLabel;label1;label2;label3;label4;label5
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;5;4.456979699876737;4.832848957153441;4.285197737177265;8.142880956527712;2.9139055014941535
7.8;0.88;0.0;2.6;0.098;25.0;67.0;0.9968;3.2;0.68;9.8;5;5.614738112244678;13.467862012166906;6.34751947129568;4.137266052679639;5.59961198614764
7.8;0.76;0.04;2.3;0.092;15.0;54.0;0.997;3.26;0.65;9.8;5;4.705727554785487;0.9175556454866358;3.7800577599261187;6.684502790458633;5.2598265660188
11.2;0.28;0.56;1.9;0.075;17.0;60.0;0.998;3.16;0.58;9.8;6;5.193523103125671;3.544847093145702;3.2174172874160485;4.610388579713864;6.462981286089891
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;5;5.114940492481162;3.1272094709660623;3.7749659206543655;8.793116435520808;2.3654675410303487
7.4;0.66;0.0;1.8;0.075;13.0;40.0;0.9978;3.51;0.56;9.4;5;5.634417238232316;8.549754192683622;4.393392142856059;4.968021566520835;4.002977718354345
7.9;0.6;0.06;1.6;0.069;15.0;59.0;0.9964;3.3;0.46;9.4;5;3.494214783111996;6.1164158870714616;6.874700974947678;4.812139587370224;6.026802456448513
7.3;0.65;0.0;1.2;0.065;15.0;21.0;0.9946;3.39;0.47;10.0;7;5.039122387567406;3.8814155547724805;6.323064532033172;5.26522562174681;4.42017510783028
7.8;0.58;0.02;2.0;0.073;9.0;18.0;0.9968;3.36;0.57;9.5;7;3.806139103873379;7.331028218426377;3.4887705765790304;5.931116487201631;6.226670431152092
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;5;6.9953156609228655;5.1695579183832185;8.720422047766931;9.16271556792059;4.1377250947954325
6.7;0.58;0.08;1.8;0.09699999999999999;15.0;65.0;0.9959;3.28;0.54;9.2;5;5.143707650499422;7.605603622213101;8.52606561536693;2.9610193213583726;5.649654984019435
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;5;5.034073375964903;1.2665433806819024;5.851428554515585;6.147276526602049;3.99049169233513
5.6;0.615;0.0;1.6;0.08900000000000001;16.0;59.0;0.9943;3.58;0.52;9.9;5;4.556181320168106;0.8054002684356485;4.073732865585847;0.5315218065222203;3.761179459214969
7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9974;3.26;1.56;9.1;5;3.570299021854634;6.7394188653235805;6.665441487701083;2.3266912396697155;7.626571402002225
8.9;0.62;0.18;3.8;0.17600000000000002;52.0;145.0;0.9986;3.16;0.88;9.2;5;6.465167436885552;3.692195005493656;4.779732835546156;5.524047144019253;3.042461347839899
8.9;0.62;0.19;3.9;0.17;51.0;148.0;0.9986;3.17;0.93;9.2;5;7.913788181798237;4.947181160565338;4.84997872582794;4.925051787464976;5.100525402388707
8.5;0.28;0.56;1.8;0.092;35.0;103.0;0.9969;3.3;0.75;10.5;7;6.194378575056491;6.8938612419948795;3.7305479658739955;6.105320854683652;5.436305226087867
8.1;0.56;0.28;1.7;0.368;16.0;56.0;0.9968;3.11;1.28;9.3;5;3.532829534405103;4.2676336068631135;4.775755310136162;1.9855095985792164;4.934998890709075
7.4;0.59;0.08;4.4;0.086;6.0;29.0;0.9974;3.38;0.5;9.0;4;5.326901308453431;-0.15696546141983792;3.579968826431876;4.043950313492042;2.6897851514458515
7.9;0.32;0.51;1.8;0.341;17.0;56.0;0.9969;3.04;1.08;9.2;6;5.118710672903252;0.4423418724118786;4.601359330657332;5.320562660893665;3.9124030687668805
